year,date,start_time,lat,lng,next_time
2011,2011-05-22,12:00:00,41.57,2.26111,15:00:00
2012,2012-05-13,12:00:00,41.57,2.26111,15:00:00
2013,2013-05-12,12:00:00,41.57,2.26111,15:00:00
2014,2014-05-11,12:00:00,41.57,2.26111,15:00:00
2015,2015-05-10,12:00:00,41.57,2.26111,15:00:00
2016,2016-05-15,12:00:00,41.57,2.26111,15:00:00
2017,2017-05-14,12:00:00,41.57,2.26111,15:00:00
2018,2018-05-13,13:10:00,41.57,2.26111,16:10:00
2019,2019-05-12,13:10:00,41.57,2.26111,16:10:00
2020,2020-08-16,13:10:00,41.57,2.26111,16:10:00
2021,2021-05-09,13:00:00,41.57,2.26111,16:00:00
2022,2022-05-22,13:00:00,41.57,2.26111,16:00:00
