,year,date,start_time,lat,lng,next_time,temp,precip,wind_speed
0,2011,2011-05-22,12:00:00,41.57,2.26111,15:00:00,24.1,0.0,4.6
1,2012,2012-05-13,12:00:00,41.57,2.26111,15:00:00,22.0,0.0,6.9
2,2013,2013-05-12,12:00:00,41.57,2.26111,15:00:00,17.3,0.0,4.6
3,2014,2014-05-11,12:00:00,41.57,2.26111,15:00:00,23.6,0.0,8.6
4,2015,2015-05-10,12:00:00,41.57,2.26111,15:00:00,24.5,0.0,5.3
5,2016,2016-05-15,12:00:00,41.57,2.26111,15:00:00,21.9,0.0,9.6
6,2017,2017-05-14,12:00:00,41.57,2.26111,15:00:00,24.0,0.0,16.3
7,2018,2018-05-13,13:10:00,41.57,2.26111,16:10:00,13.9,0.037,10.9
8,2019,2019-05-12,13:10:00,41.57,2.26111,16:10:00,20.9,0.0,9.4
9,2020,2020-08-16,13:10:00,41.57,2.26111,16:10:00,28.9,0.0,16.9
10,2021,2021-05-09,13:00:00,41.57,2.26111,16:00:00,21.2,0.0,14.9
11,2022,2022-05-22,13:00:00,41.57,2.26111,16:00:00,34.2,0.0,15.3
